strategy,n_docs,n_partitions,query_partitions,max_level,matches,docs_inspected,full_doc_fetches,approx_bytes_read,elapsed_ms_median,elapsed_ms_p95,elapsed_ms_mean
baseline,1000,20,3,2,79,158,158,647168,0.030284980311989784,0.04254381638020276,0.030530566748763834
C,1000,20,3,2,79,79,79,323584,0.012925011105835438,0.02956489333882926,0.016334874089807272
A2_B_D,1000,20,3,2,79,79,0,5056,0.009310024324804544,0.015434203669428824,0.011046142649969884
baseline,5000,20,3,2,357,736,736,3014656,0.09986700024455786,0.17783149960450823,0.11779041960835457
C,5000,20,3,2,357,357,357,1462272,0.05576299736276269,0.11844420805573458,0.06927172320761851
A2_B_D,5000,20,3,2,357,357,0,22848,0.03951299004256725,0.04406367079354822,0.04028527265680688
baseline,10000,20,3,2,726,1426,1426,5840896,0.19408599473536015,0.368859217269346,0.23215486934142454
C,10000,20,3,2,726,726,726,2973696,0.11417502537369728,0.24728159187361584,0.1412964193150401
A2_B_D,10000,20,3,2,726,726,0,46464,0.07683696458116174,0.08302658679895103,0.07797727760459695
baseline,50000,20,3,2,3666,7349,7349,30101504,1.9835949642583728,2.6447510288562617,2.0548940020879463
C,50000,20,3,2,3666,3666,3666,15015936,1.1749329860322177,1.8008891900535668,1.2967209996921676
A2_B_D,50000,20,3,2,3666,3666,0,234624,0.6513880216516554,0.6633424782194197,0.6459077204843717
baseline,100000,20,3,2,7413,14968,14968,61308928,3.9723460213281214,5.980973987607285,4.5023554287451715
C,100000,20,3,2,7413,7413,7413,30363648,2.5188979925587773,3.823862539138645,2.889705148325967
A2_B_D,100000,20,3,2,7413,7413,0,474432,1.4018599758855999,1.4583097829017788,1.397236142240997
baseline,250000,20,3,2,18604,37295,37295,152760320,10.263714008033276,14.308742503635582,11.13156700739637
C,250000,20,3,2,18604,18604,18604,76201984,7.099927985109389,10.368010110687461,7.790670289458441
A2_B_D,250000,20,3,2,18604,18604,0,1190656,3.893118991982192,4.2978555837180465,3.97975928249902
